Name of movie,Year of release,Watchtime,Genre,Classification,Movie Rating,Metascore,Votes,Gross collection,Des,id,keywords
Ant-Man and the Wasp: Quantumania,2023,124,"Action, Adventure, Comedy",PG-13,6.1,48,"225,565","476,071,180","Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",,"marvel comic, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d"
Mission: Impossible - Dead Reckoning Part One,2023,163,"Action, Adventure, Thriller",PG-13,7.7,81,"241,622","567,535,383",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,,"berlin, cia, vatican, white house, secret identity, secret, explosive, mobile phone, map, traitor, mask, honeymoon, shanghai, pretended murder, secret mission, letter, funeral, covered investigation, to shoot dead, secret agent, video, stamp, hard drive, e-mail, decipherment, suitcase, computer, revenge, murder, mission, hospital, duel, disguise, celebration, good and bad, research laboratory, blast"
Dungeons & Dragons: Honor Among Thieves,2023,134,"Action, Adventure, Comedy",PG-13,7.2,72,"221,825","208,177,026","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",,"friendship, spaceship, space, alien, alien invasion, alien friendship, awful leader, taking resposibility"
Fast X,2023,141,"Action, Adventure, Crime",PG-13,5.8,56,"117,445","704,709,660",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,,"brazil, fbi, freedom, escape from prison, car crash, heist, organized crime, on the run, money, fugitive, police chase, escaped convict, car, imax, automobile racing, duringcreditsstinger"
John Wick: Chapter 4,2023,169,"Action, Crime, Thriller",R,7.7,78,"329,389","440,146,694","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",,"self-fulfilling prophecy, washington d.c., evidence, future, hologram, dystopia, murder, neo-noir, future noir"
Transformers: Rise of the Beasts,2023,127,"Action, Adventure, Sci-Fi",PG-13,6,42,"102,013","438,966,392","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",,"egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger"
PAW Patrol: The Mighty Movie,2023,88,"Animation, Action, Adventure",PG,6,49,"4,753","192,409,800","A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups",,"vietnam veteran, 1970s, monster, expedition, island, king kong, u.s. soldier, kaiju, aftercreditsstinger, monster island, uncharted"
The Equalizer 3,2023,109,"Action, Crime, Thriller",R,6.8,58,"107,831","190,012,529","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",,"corruption, assassin, hostage, fbi, hitman, russian, security camera, sadism, vigilante, sociopath, revenge, suspense, organized crime, gore, gangster, violence, teenage prostitute, commando, interrogation, surveillance, ex soldier, faked death, loner, call girl, black ops, hand to hand combat, mysterious past"
Insidious: The Red Door,2023,107,"Horror, Mystery, Thriller",PG-13,5.5,45,"49,628","189,086,877",The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.,,"folklore, demon hunter"
Meg 2: The Trench,2023,116,"Action, Adventure, Horror",PG-13,5,40,"76,694","395,000,317","A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation.",,"sequel, fabergé egg, dutch eastindian company, second, part, golden egg, goon"
Guardians of the Galaxy Vol. 3,2023,150,"Action, Adventure, Comedy",PG-13,7.9,64,"376,093","845,555,777","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",,"sequel, superhero, based on comic, misfit, space, outer space, aftercreditsstinger, duringcreditsstinger"
Oppenheimer,2023,180,"Biography, Drama, History",R,8.3,90,"694,632","950,191,715",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,,"nasa, sexism, biography, mathematics, racial segregation, racism, scientist, space race, black woman, u.s. space program, discrimination, 1960s"
Indiana Jones and the Dial of Destiny,2023,154,"Action, Adventure, Sci-Fi",PG-13,6.5,58,"195,213","383,963,057",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,,"saving the world, venice, holy grail, library, riddle, father son relationship, whip, treasure, nazis, entrapment, crusader, treasure hunt, escape, panzer, order of the templars, archaeologist, indiana jones, archeology "
The Little Mermaid,2023,135,"Adventure, Family, Fantasy",PG,7.2,59,"154,521","569,626,289",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,,"sea, fireworks, prince, kingdom, daughter, mermaid, princess, animation, spell, true love, bargain"
Spider-Man: Across the Spider-Verse,2023,140,"Animation, Action, Adventure",PG,8.6,86,"360,189","690,516,673","Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",,"loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger"
Creed III,2023,116,"Action, Drama, Sport",PG-13,6.7,73,"91,881","275,248,615","Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",,"usa, transporter, loss of lover, cold war, soviet union, boxer, kgb, dying and death, loss of powers, boxing match, training, matter of life and death, sibiria, friendship, victory, sport, revenge"
The Nun II,2023,110,"Horror, Mystery, Thriller",R,5.6,47,"57,299","268,067,073","1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun.",,"based on novel, voodoo, kiss, princess, animation, cajun, firefly, based on fairy tale, duringcreditsstinger, big dreams, frog prince, charlatan"
Taylor Swift: The Eras Tour,2023,169,"Documentary, Music",PG-13,8.1,83,"19,559","246,365,022","Experience the Eras Tour concert, performed by the one and only Taylor Swift.",,"japan, war crimes, sense of guilt, swordplay, general, samurai, war veteran, katana, sword, arms deal, homeland, emperor, language barrier, self-discovery, mountain village, foreign legion, mercenary, campaign, commercial agreement, insurgence, leader, war strategy, gettysburg, loss of husband, slaughter, soldier, alcoholic, u.s. soldier, japanese army, 19th century, war trauma"
Elemental,2023,101,"Animation, Adventure, Comedy",PG,7,58,"122,932","495,851,987","Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",,"fire, ice, war ship, prince, kingdom, water, village, arrest, remake, attack, avatar, air, spirit, world, domination, cheering"
The Flash,2023,144,"Action, Adventure, Fantasy",PG-13,6.7,55,"206,903","270,633,313","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",,"dc comics, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, dc cinematic universe, 3d"
Sound of Freedom,2023,131,"Biography, Crime, Drama",PG-13,7.7,36,"111,667","247,801,879",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,,"corruption, sex, sexuality, bank, humor, biography, wall street, marriage crisis, rise and fall, stockbroker, drug, stock broker"
Barbie,2023,114,"Adventure, Comedy, Fantasy",PG-13,6.9,80,"520,649","1,441,761,333","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",,"prison, magic, liberation, honeymoon, parents-in-law, kingdom, enchantment, dancing scene, transformation, fairy-tale figure"
Five Nights at Freddy's,2023,109,"Horror, Mystery, Thriller",PG-13,5.5,33,"90,808","271,913,275","A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's.",,"museum, skeleton, night shift, chaos, genghis khan, maya civilization, natural history, theodore roosevelt, dinosaur, based on children's book, magical object, security guard, duringcreditsstinger, inanimate objects coming to life"
The Super Mario Bros. Movie,2023,92,"Animation, Adventure, Comedy",PG,7,46,"233,588","1,361,990,276","A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.",,"underworld, hades, mythology, greek mythology, zeus, perseus, gods, ancient greece, ares, based on myths or folklore, 3d"
Thor: Love and Thunder,2022,118,"Action, Adventure, Comedy",PG-13,6.2,57,"397,882","760,928,081","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",,"marvel comic, superhero, based on comic, hostile takeover, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, asgard"
Uncharted,2022,116,"Action, Adventure",PG-13,6.3,45,"256,585","407,141,258","Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",,"japan, war crimes, sense of guilt, swordplay, general, samurai, war veteran, katana, sword, arms deal, homeland, emperor, language barrier, self-discovery, mountain village, foreign legion, mercenary, campaign, commercial agreement, insurgence, leader, war strategy, gettysburg, loss of husband, slaughter, soldier, alcoholic, u.s. soldier, japanese army, 19th century, war trauma"
Top Gun: Maverick,2022,130,"Action, Drama",PG-13,8.2,78,"686,712","1,495,696,292","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",,"secret mission, bad luck, saddam hussein, drill instructor, jet crash"
Fantastic Beasts: The Secrets of Dumbledore,2022,142,"Adventure, Family, Fantasy",PG-13,6.2,47,"169,099","407,150,844",Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.,,"robbery, magic, teleportation, suitcase, new york city, subway station, central park, wizard, goblin, magical creature"
Bullet Train,2022,127,"Action, Comedy, Thriller",R,7.3,49,"420,204","239,268,602",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,,"paris, barcelona spain, assassin, based on novel, secret identity, amnesia, sniper, passport, mission of murder, lovers, escape, shootout, foot chase, cell phone, car chase, multiple identities, surveillance camera, hamburg germany, fishing boat, langley virginia, safe deposit box, flashback, hand to hand combat"
Water Gate Bridge,2022,153,"Action, Drama, History",,5.6,,"1,371","626,571,697","Sequel to ""The Battle at Lake Changjin"". Follows the Chinese People's Volunteers (CPV) soldiers on a new task, and now their battlefield is a crucial bridge on the retreat route of American troops.",,"fire, ice, war ship, prince, kingdom, water, village, arrest, remake, attack, avatar, air, spirit, world, domination, cheering"
The Batman,2022,176,"Action, Crime, Drama",PG-13,7.8,72,"780,061","772,245,583","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",,"himalaya, martial arts, dc comics, crime fighter, secret identity, undercover, hero, loss of father, society, gotham city, vigilante, superhero, based on comic, rivalry, tragic hero, ninja, good vs evil, crime, super powers, haunted by the past, evil doctor, escapade, master villain, fighting crime, unfulfillment, love and romance, unfulfilled love"
Nice View,2022,106,"Comedy, Drama",,6.6,,"1,180","211,019,042","20-year-old Jing Hao came to Shenzhen to live with his young sister alone. The siblings live a warm yet straitened life. In an effort to pay for his sister's expensive surgery, Jing Hao ...                See full summary »",,"holiday, burglar, home invasion, mischief, booby trap, home alone, suburban chicago, mischievous child, christmas, child"
Moon Man,2022,122,"Comedy, Sci-Fi",,6.4,,"1,711","460,237,662","After being left unexpectedly on the moon, an asteroid destroys the earth, leaving Duguyue being the last person in existence.",,"moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger"
The Bad Guys,2022,100,"Animation, Adventure, Comedy",PG,6.8,64,"57,837","250,162,278","To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways.",,"witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger"
Avatar: The Way of Water,2022,192,"Action, Adventure, Fantasy",PG-13,7.6,67,"489,673","2,320,250,281","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",,"culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d"
The Lost City,2022,112,"Action, Adventure, Comedy",PG-13,6.1,60,"156,950","192,907,684",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,,"river, musical, tiger, village, feral child, sequel, bear, jungle, orphan, vulture, gong, lost, shake, mango"
DC League of Super-Pets,2022,105,"Animation, Action, Adventure",PG,7.1,56,"75,150","207,557,117","Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.",,"dc comics, vigilante, superhero, based on comic, revenge, super powers, clark kent, bruce wayne, dc extended universe"
Sonic the Hedgehog 2,2022,122,"Action, Adventure, Comedy",PG,6.5,47,"86,276","405,421,518","When the manic Dr. Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",,"fire, ice, mammoth, fireworks, prehistoric, singing, critically bashed, cavemen, meteor crash"
Too Cool to Kill,2022,109,Comedy,,6.1,,758,"217,254,604","In order to fully realize his dream of being a comedian, Wei Chenggong (Wei Xiang) accidentally broke into a dangerous scam under the ""persuasion"" of actress Milan (Li Ma). But Wei ...                See full summary »",,duringcreditsstinger
Black Adam,2022,125,"Action, Adventure, Fantasy",PG-13,6.2,41,"272,131","393,252,111","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",,"washington d.c., future, shield, marvel comic, superhero, based on comic, captain america, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, political thriller"
Black Panther: Wakanda Forever,2022,161,"Action, Adventure, Drama",PG-13,6.7,67,"302,940","859,208,836",The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,,"elves, orcs, middle-earth (tolkien), based on novel, suspicion, bravery, war, honor, troll, brutality, violence, ghost, end of trilogy, quest, sword and sorcery"
Smile,2022,115,"Horror, Mystery, Thriller",R,6.5,68,"156,868","217,408,513","After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.",,"haunting, psychic, entity, demonic possession, found footage"
Minions: The Rise of Gru,2022,87,"Animation, Adventure, Comedy",PG,6.5,56,"84,486","939,628,210",The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,,"assistant, aftercreditsstinger, duringcreditsstinger, evil mastermind, minions, 3d"
Doctor Strange in the Multiverse of Madness,2022,126,"Action, Adventure, Fantasy",PG-13,6.9,60,"474,660","955,775,804","Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",,"talking to animals, woman director"
Jurassic World Dominion,2022,147,"Action, Adventure, Sci-Fi",PG-13,5.6,38,"202,879","1,001,978,080","Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",,"london england, england, based on novel, queen, little girl, orphan, cannibal, giant, evil brother"
Elvis,2022,159,"Biography, Drama, Music",PG-13,7.3,64,"232,089","288,670,284","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",,"germany, prison, music record, adultery, country music, guitar, loss of brother, concert, marriage, single, accident, 1960s"
Puss in Boots: The Last Wish,2022,102,"Animation, Action, Adventure",PG,7.8,73,"172,554","481,079,705","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",,"alcohol, one-night stand, bed, pregnancy and birth, condom, paternity, drug use, beard, unprotected sex, duringcreditsstinger"
Lightyear,2022,105,"Animation, Action, Adventure",PG,6.1,60,"123,145","226,425,420","While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",,"jazz, dance, passion, musical, casting, los angeles, pianist, theater, movie set, actress"
Godzilla vs. Kong,2021,113,"Action, Sci-Fi, Thriller",PG-13,6.3,59,"236,433","470,116,094",The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,,"vietnam veteran, 1970s, monster, expedition, island, king kong, u.s. soldier, kaiju, aftercreditsstinger, monster island, uncharted"
The Conjuring: The Devil Made Me Do It,2021,112,"Horror, Mystery, Thriller",R,6.3,53,"137,827","206,431,050","Arne Cheyenne Johnson stabs and murders his landlord, claiming to be under demonic possession while Ed and Lorraine Warren investigate the case and try to prove his innocence.",,"sister sister relationship, exorcism, rhode island, based on true story, farmhouse, paranormal investigation, ghost, supernatural power, paranormal investigator, annabelle"
Raging Fire,2021,126,"Action, Adventure, Crime",Not Rated,6.5,72,"5,896","205,842,393","Cheung Sung-bong is an officer of the Regional Crime Unit who worked in the front line for many years. His protege, Yau Kong-ngo, respects and looks up to him. However, fate conspires to pit them against each other.",,"terrorist, secret, hostage, technology, laser, warhead, government, president, revenge, murder, attack, explosion, scientist, evil, cobra"
Dune,2021,155,"Action, Adventure, Drama",PG-13,8,74,"826,839","402,027,830",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,,"double life, dc comics, dual identity, chemical, crime fighter, fictional place, gotham city, superhero, super powers"
Encanto,2021,102,"Animation, Comedy, Family",PG,7.2,75,"259,912","256,786,742",A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,,"sport, social outcast, ridicule, lawn mower, deserted by husband, low self esteem, black and white to color"
Shang-Chi and the Legend of the Ten Rings,2021,132,"Action, Adventure, Fantasy",PG-13,7.4,71,"433,050","432,243,292","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",,duringcreditsstinger
Sing 2,2021,110,"Animation, Adventure, Comedy",PG,7.3,49,"86,081","408,402,367",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,,"moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger"
Eternals,2021,156,"Action, Adventure, Fantasy",PG-13,6.3,52,"384,040","402,064,899","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",,"dream, santa claus, nightmare, easter bunny, tooth fairy, jack frost, sandman, duringcreditsstinger"
Ghostbusters: Afterlife,2021,124,"Adventure, Comedy, Fantasy",PG-13,7,45,"213,209","204,334,455","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",,"slime, ghostbuster, product placement, reincarnation, painting, crude humor, scream, single mother, old flame, courtroom, book store, chrysler building, river of slime, revolving door, reference to slinky, occult research"
Jungle Cruise,2021,127,"Action, Adventure, Comedy",PG-13,6.6,50,"211,467","220,889,446",Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,,"river, musical, tiger, village, feral child, sequel, bear, jungle, orphan, vulture, gong, lost, shake, mango"
Black Widow,2021,134,"Action, Adventure, Sci-Fi",PG-13,6.7,68,"423,640","379,751,655",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,,"moon, cinema, vampire, werewolf, fang vamp"
"My Country, My Parents",2021,157,Drama,Not Rated,6.1,,558,"221,831,086","Included as the third installment of ""National Day Celebration"" trilogy with My People, My Country (2019) and My People, My Homeland (2020), My Country, My Parents focuses on four Chinese ...                See full summary »",,korean movie
Cruella,2021,134,"Adventure, Comedy, Crime",PG-13,7.3,59,"264,227","233,503,234",A live-action prequel feature film following a young Cruella de Vil.,,"puppy, animation, dog, dalmatian"
Free Guy,2021,115,"Action, Adventure, Comedy",PG-13,7.1,62,"422,076","331,526,598","When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",,"holiday, london england, film making, christmas party, country house, room exchange, surrey, romantic comedy, los angeles, multiple storylines, woman director, christmas"
Venom: Let There Be Carnage,2021,97,"Action, Sci-Fi, Thriller",PG-13,5.9,49,"257,476","506,863,592","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",,"based on novel, psychopath, horror, suspense, serial killer, psychological thriller, cannibal, fbi agent, animal in cast credits, cannibalism"
Cliff Walkers,2021,120,"Crime, Drama, Thriller",,6.5,,"2,971","181,325,565","In the puppet state of Manchukuo in the 1930s, four Communist party special agents, after returning to China, embark on a secret mission. Sold out by a traitor, the team find themselves surrounded by threats on all sides.",,"china, monster, archer, female soldier, explosion, period drama, british soldier, great wall of china, 3d, 15th century, female general"
No Time to Die,2021,163,"Action, Adventure, Thriller",PG-13,7.3,68,"442,715","774,153,007","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",,"spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom"
Detective Chinatown 3,2021,136,"Action, Adventure, Comedy",R,5.6,,"2,595","686,257,563",A major crime occurs in Tokyo when detectives Tang Ren and Qin Feng are invited to investigate the crime. A battle between the strongest detectives in Asia is about to break out with bursts of laughter.,,"double life, dc comics, dual identity, chemical, crime fighter, fictional place, gotham city, superhero, super powers"
F9: The Fast Saga,2021,143,"Action, Crime, Thriller",PG-13,5.2,58,"161,266","726,229,501",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,,"individual, mentally disabled, autism, loss of father, yuppie, car dealer, egocentrism, travel, convertible, psychiatrist, duringcreditsstinger, savant"
The Battle at Lake Changjin,2021,176,"Action, Drama, History",Not Rated,5.5,,"4,066","902,548,476","In the fierce battlefield in the midst of the harsh weather conditions, Wu Qian Li and Wu Wan Li, two brothers soldier including the brave Chinese soldiers must fight together and find a way to cope with the invasion of US forces.",,"france, beach, world war ii, evacuation, german, pilot, british army, royal navy, royal air force, private, allied forces, dunkirk"
"Hi, Mom",2021,128,"Comedy, Romance",,6.9,,"2,926","822,009,764",A woman travels back in time to befriend her own mother in an attempt to make her life better.,,"scotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, courage, 3d"
Spider-Man: No Way Home,2021,148,"Action, Adventure, Fantasy",PG-13,8.2,71,"872,091","1,921,847,111","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",,"loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger"
Chinese Doctors,2021,129,Drama,,4.7,,"1,281","197,143,218","A group of doctors at a hospital in Wuhan, China are the first in the world to deal with a new disease, COVID-19.",,"river, general, research, army, serum, monkey, epidemic, medical research"
"My People, My Homeland",2020,153,Drama,,6.4,,"1,055","422,390,820","In different parts of rural China, various people explore what makes their communities unique.",,"friendship, spaceship, space, alien, alien invasion, alien friendship, awful leader, taking resposibility"
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,117,"Animation, Action, Adventure",R,8.2,72,"72,140","453,210,959","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",,"folklore, demon hunter"
Bad Boys for Life,2020,124,"Action, Comedy, Crime",R,6.5,59,"174,171","426,505,244",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,,"miami, ku klux klan, cuba, undercover, mexican standoff, ecstasy, guantánamo, slaughter, shootout, gunfight, bromance, gangster, violence, foot chase, interrogation, car chase, drug lord, exploding house, narcotics cop, illegal drugs, dea agent, buddy cop, criminal underworld, action hero, haitian gang, minefield"
The Croods: A New Age,2020,95,"Animation, Adventure, Comedy",PG,6.9,56,"52,650","215,905,815","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",,"stone age, daughter, father, prehistoric, ancient world, father daughter relationship, family, cavemen, aftercreditsstinger, duringcreditsstinger"
The Eight Hundred,2020,149,"Action, Drama, History",Not Rated,6.7,64,"7,149","461,421,559","In 1937, 800 Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",,"france, beach, world war ii, evacuation, german, pilot, british army, royal navy, royal air force, private, allied forces, dunkirk"
A Little Red Flower,2020,122,"Drama, Family",,6.7,,834,"216,000,000","The film tells a warm and realistic story, thinking and facing the ultimate problem that every ordinary person will face-imagining that death may come at any time, the only thing we have to do is love and cherish.",,"rebel, space battle, space travel, war, prequel, spaceship, space, alien, death star, jedi, rebellion, female protagonist, space western, gunfight, suicide mission, robot, spin off, laser gun, space opera, alien language, against the odds, blind man"
A Quiet Place Part II,2020,97,"Drama, Horror, Sci-Fi",PG-13,7.2,71,"270,777","297,372,261","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",,"secret identity, secret, hero, island, wretch, supernatural powers, weapon, lawsuit, superhero"
Tenet,2020,150,"Action, Sci-Fi, Thriller",PG-13,7.3,69,"588,272","365,304,105","Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",,"post traumatic stress  disorder, new jersey, airplane, dystopia, daughter, apocalypse, alien invasion, human subjugation"
Sonic the Hedgehog,2020,99,"Action, Adventure, Comedy",PG,6.5,47,"158,253","319,715,683","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",,"england, based on novel, depression, small town, wheelchair, caretaker, caregiver, disabled, twenty something, woman director, romantic drama, dead end job, accident"
Dolittle,2020,101,"Adventure, Comedy, Family",PG,5.6,26,"71,000","251,410,631",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,,"talking to animals, woman director"
Jiang Ziya,2020,110,"Animation, Action, Adventure",TV-PG,6.5,,"2,215","240,646,355","Banished to the mortal world, a warrior has to slay a demon to return to the heavenly realm and become a god.",,"clock tower, jealousy, cheating, provence, lie, southern france, postman, flush, mama's boy, bias, local speciality, job transfer, northern france, disabled, dialect"
Shock Wave 2,2020,120,"Action, Crime, Thriller",,6.6,,"2,843","198,921,659","A terrorist expert in explosives, whose gang has been dismantled, seeks revenge. He threatens to blow up a Hong Kong tunnel with hundreds of hostages. The policeman who has already beaten him once must stop him again.",,"secret agent, bakery, falling in love, father daughter relationship, duringcreditsstinger, first date, minions, 3d"
Birds of Prey,2020,109,"Action, Comedy, Crime",R,6.1,60,"263,717","205,372,791","After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",,"elves, dwarves, orcs, middle-earth (tolkien), hobbit, based on novel, mountain, fireworks, castle, volcano, password, death of a friend, uncle, mirror, wizard, sword and sorcery"
