Name of movie,Year of release,Watchtime,Genre,Classification,Movie Rating,Metascore,Votes,Gross collection,Des,id,keywords
Angels & Demons,2009,138,"Action, Mystery, Thriller",PG-13,6.7,48,"308,879","485,930,816",Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,13448,"rome, vatican, based on novel, symbolism, christian, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern"
This Is It,2009,111,"Documentary, Music",PG,7.2,67,"41,832","261,183,588","A compilation of interviews, rehearsals, and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London.",13576,"pop star, music, concert, aftercreditsstinger, duringcreditsstinger"
G.I. Joe: The Rise of Cobra,2009,118,"Action, Adventure, Sci-Fi",PG-13,5.7,32,"214,754","302,469,017","An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.",14869,"terrorist, secret, hostage, technology, laser, warhead, government, president, revenge, murder, attack, explosion, scientist, evil, cobra"
Bedtime Stories,2008,99,"Adventure, Comedy, Family",PG,6,33,"101,002","212,874,864",A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,10202,"wishes come true, escapade, disorder, imaginary, miraculous event, imaginary kingdom, life turned upside down, nothing goes right"
Sex and the City,2008,145,"Comedy, Drama, Romance",R,5.7,53,"127,010","418,765,519",A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,4564,"city portrait, hotel, new year's eve, forgiveness, fashion journal, saint louis, fashion designer, malibu, loss of libido, botox, couples therapy, best friend, fashion, child wish"
The Incredible Hulk,2008,112,"Action, Adventure, Sci-Fi",PG-13,6.6,61,"521,832","264,770,996","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",1724,"new york, rio de janeiro, marvel comic, superhero, based on comic, on the run, fugitive, super soldier, tony stark, virginia, military, hulk, marvel cinematic universe, angry, bruce banner"
What Happens in Vegas,2008,99,"Comedy, Romance",PG-13,6.1,36,"187,384","219,375,562","A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",9029,"casino, hotel, roommate, fictitious marriage, romantic comedy, rivalry, wedding, las vegas"
Marley & Me,2008,115,"Drama, Family",PG,7,53,"167,369","255,743,093","A family learns important life lessons from their adorable, but naughty and neurotic dog.",14306,"journalist, based on novel, puppy, dog, duringcreditsstinger, columnist, animal lead"
Wanted,2008,110,"Action, Crime, Thriller",R,6.7,64,"407,551","342,463,063","A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",8909,"assassin, loss of father, secret society, mission of murder, revenge"
Australia,2008,165,"Adventure, Drama, Romance",PG-13,6.6,53,"129,555","211,787,511","In 1939, an Englishwoman inherits a sprawling ranch in northern Australia and reluctantly makes a pact with a stockman to drive 2000 head of cattle over unforgiving landscape.",6972,"missionary, world war ii, ranch, australia, british, racist, cattle drive, aftercreditsstinger, stampede, waltzing matilda, trampled to death"
Tropic Thunder,2008,107,"Action, Comedy, War",R,7.1,71,"446,378","195,702,963","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",7446,"film making, satire, jungle, movie star, southeast asia, land mine, shackles, war filmmaking, duringcreditsstinger, blackface, method acting"
Kung Fu Panda,2008,92,"Animation, Action, Adventure",PG,7.6,74,"517,518","632,083,197","To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",9502,"china, martial arts, kung fu, mentor, snake, restaurant, shop, strong woman, bravery, tiger, turtle, panda, sensei, anthropomorphism, fighting, ancient china, monkey, master, destiny, evil, aftercreditsstinger, monkey warrior, noodle"
